Model,Mode,Param,Run,Test,Accuracy,Rows,Correct,Expected,Complete,Path
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T01 Short,29.9,144.0,43.0,144,True,comfort_eval_output/mcq_short_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T01 Middle,31.9,144.0,46.0,144,True,comfort_eval_output/mcq_middle_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T01 Long,35.4,144.0,51.0,144,True,comfort_eval_output/mcq_long_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T02 Long,28.4,162.0,46.0,216,False,comfort_eval_output/pair_mcq_long_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T03-a Long,,,,108,False,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T03-b Long,,,,108,False,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3_5vl_with'aligned'.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T04 Long,,,,144,False,comfort_eval_tests/test02_pov/results/pov_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T05 Long,36.4,387.0,141.0,432,False,comfort_eval_tests/test03_pov_four/results/pov4_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T06-a Long,36.8,144.0,53.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_qwen3_5vl.csv
Qwen3.5-VL,Instruct,9B,Qwen3.5-VL Instruct,T06-b Long,37.5,144.0,54.0,144,True,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_qwen3_5vl_with_aligned.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T01 Short,45.8,144.0,66.0,144,True,comfort_eval_output/mcq_short_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T01 Middle,36.1,144.0,52.0,144,True,comfort_eval_output/mcq_middle_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T01 Long,60.4,144.0,87.0,144,True,comfort_eval_output/mcq_long_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T02 Long,57.1,7.0,4.0,216,False,comfort_eval_output/pair_mcq_long_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T03-a Long,57.4,108.0,62.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T03-b Long,65.7,108.0,71.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3_5vl_thinking_with'aligned'.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T04 Long,,,,144,False,comfort_eval_tests/test02_pov/results/pov_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T05 Long,51.2,432.0,221.0,432,True,comfort_eval_tests/test03_pov_four/results/pov4_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T06-a Long,69.4,144.0,100.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_qwen3_5vl_thinking.csv
Qwen3.5-VL,Thinking,9B,Qwen3.5-VL Thinking,T06-b Long,62.5,144.0,90.0,144,True,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_qwen3_5vl_thinking_with_aligned.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T01 Short,32.6,144.0,47.0,144,True,comfort_eval_output/mcq_short_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T01 Middle,28.5,144.0,41.0,144,True,comfort_eval_output/mcq_middle_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T01 Long,34.7,144.0,50.0,144,True,comfort_eval_output/mcq_long_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T02 Long,24.5,216.0,53.0,216,True,comfort_eval_output/pair_mcq_long_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T03-a Long,34.3,108.0,37.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T03-b Long,56.7,120.0,68.0,108,False,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3vl_with'aligned'.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T04 Long,29.2,144.0,42.0,144,True,comfort_eval_tests/test02_pov/results/pov_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T05 Long,30.6,432.0,132.0,432,True,comfort_eval_tests/test03_pov_four/results/pov4_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T06-a Long,31.9,144.0,46.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_qwen3vl.csv
Qwen3-VL,Instruct,8B,Qwen3-VL Instruct,T06-b Long,31.2,144.0,45.0,144,True,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_qwen3vl_with_aligned.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T01 Short,,,,144,False,comfort_eval_output/mcq_short_qwen3vl_thinking.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T01 Middle,,,,144,False,comfort_eval_output/mcq_middle_qwen3vl_thinking.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T01 Long,,,,144,False,comfort_eval_output/mcq_long_qwen3vl_thinking.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T02 Long,22.7,216.0,49.0,216,True,comfort_eval_output/pair_mcq_long_qwen3vl_thinking.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T03-a Long,32.4,108.0,35.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3vl_thinking.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T03-b Long,,,,108,False,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_qwen3vl_thinking_with'aligned'.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T04 Long,,,,144,False,comfort_eval_tests/test02_pov/results/pov_qwen3vl_thinking.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T05 Long,38.3,334.0,128.0,432,False,comfort_eval_tests/test03_pov_four/results/pov4_qwen3vl_thinking.csv
