src_path,dst_path,prompt,expected_direction,second_object,view_type
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/ball-of-yarn_left_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. The person should be full-body and correctly sized to the chair.Keep all the rest of the image the same. Do not overlap the ball-of-yarn.",right,ball-of-yarn,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/ball-of-yarn_left_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the ball-of-yarn.",front,ball-of-yarn,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/ball-of-yarn_left_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the ball-of-yarn.",back,ball-of-yarn,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/ball-of-yarn_right_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. The person should be full-body and correctly sized to the chair.Keep all the rest of the image the same. Do not overlap the ball-of-yarn.",left,ball-of-yarn,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/ball-of-yarn_right_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the ball-of-yarn.",back,ball-of-yarn,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/ball-of-yarn_right_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the ball-of-yarn.",front,ball-of-yarn,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/banana_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/banana_left_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. The person should be full-body and correctly sized to the chair.Keep all the rest of the image the same. Do not overlap the banana.",right,banana,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/banana_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/banana_left_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the banana.",front,banana,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/banana_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/banana_left_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the banana.",back,banana,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/banana_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/banana_right_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. The person should be full-body and correctly sized to the chair.Keep all the rest of the image the same. Do not overlap the banana.",left,banana,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/banana_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/banana_right_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the banana.",back,banana,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/banana_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/banana_right_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the banana.",front,banana,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/beer-bottle_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/beer-bottle_left_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. The person should be full-body and correctly sized to the chair.Keep all the rest of the image the same. Do not overlap the beer-bottle.",right,beer-bottle,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/beer-bottle_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/beer-bottle_left_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the beer-bottle.",front,beer-bottle,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/beer-bottle_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/beer-bottle_left_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the beer-bottle.",back,beer-bottle,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/beer-bottle_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/beer-bottle_right_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. The person should be full-body and correctly sized to the chair.Keep all the rest of the image the same. Do not overlap the beer-bottle.",left,beer-bottle,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/beer-bottle_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/beer-bottle_right_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the beer-bottle.",back,beer-bottle,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/beer-bottle_right_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/beer-bottle_right_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. The person should be full-body and correctly sized to the chair. Keep all the rest of the image the same. Do not overlap the beer-bottle.",front,beer-bottle,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/blanket_left_of_chair.jpeg,/home/zzou/Version0_dataset/FLUX2_v0/blanket_left_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. The person should be full-body and correctly sized to the chair.Keep all the rest of the image the same. Do not overlap the blanket.",right,blanket,FACE-CAMERA
