src_path,dst_path,prompt,expected_direction,second_object,view_type
/home/zzou/WhatsUp_dataset/controlled_images/apple_left_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/apple_left_of_armchair_FACE-CAMERA.png,"Insert a human sitting on the armchair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",right,apple,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/apple_left_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/apple_left_of_armchair_FACE-LEFT.png,"Insert a human sitting on the armchair facing left, with their body also turned to the left. Keep all the rest of the image the same. You can change the orientation of the armchair.",front,apple,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/apple_left_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/apple_left_of_armchair_FACE-RIGHT.png,"Insert a human sitting on the armchair facing right, with their body also turned to the right. Keep all the rest of the image the same. You can change the orientation of the armchair.",back,apple,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/apple_right_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/apple_right_of_armchair_FACE-CAMERA.png,"Insert a human sitting on the armchair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",left,apple,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/apple_right_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/apple_right_of_armchair_FACE-LEFT.png,"Insert a human sitting on the armchair facing left, with their body also turned to the left. Keep all the rest of the image the same. You can change the orientation of the armchair.",back,apple,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/apple_right_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/apple_right_of_armchair_FACE-RIGHT.png,"Insert a human sitting on the armchair facing right, with their body also turned to the right. Keep all the rest of the image the same. You can change the orientation of the armchair.",front,apple,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/banjo_left_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/banjo_left_of_armchair_FACE-CAMERA.png,"Insert a human sitting on the armchair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",right,banjo,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/banjo_left_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/banjo_left_of_armchair_FACE-LEFT.png,"Insert a human sitting on the armchair facing left, with their body also turned to the left. Keep all the rest of the image the same. You can change the orientation of the armchair.",front,banjo,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/banjo_left_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/banjo_left_of_armchair_FACE-RIGHT.png,"Insert a human sitting on the armchair facing right, with their body also turned to the right. Keep all the rest of the image the same. You can change the orientation of the armchair.",back,banjo,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/banjo_right_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/banjo_right_of_armchair_FACE-CAMERA.png,"Insert a human sitting on the armchair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",left,banjo,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/banjo_right_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/banjo_right_of_armchair_FACE-LEFT.png,"Insert a human sitting on the armchair facing left, with their body also turned to the left. Keep all the rest of the image the same. You can change the orientation of the armchair.",back,banjo,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/banjo_right_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/banjo_right_of_armchair_FACE-RIGHT.png,"Insert a human sitting on the armchair facing right, with their body also turned to the right. Keep all the rest of the image the same. You can change the orientation of the armchair.",front,banjo,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/beer-bottle_left_of_armchair.jpeg,/home/zzou/Version0_dataset/Qwen_Image_Edit_2509_v0_armchair/beer-bottle_left_of_armchair_FACE-CAMERA.png,"Insert a human sitting on the armchair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",right,beer-bottle,FACE-CAMERA
