image_path,second_object,where_answer,front_answer,back_answer,left_answer,right_answer,correct_answer
./Version0_dataset/Qwen_Image_Edit_2509_v0/bottle-of-orange-juice_left_of_chair_FACE-CAMERA.png,bottle-of-orange-juice,The bottle of orange juice is on the floor to the left of the person sitting on the stool.,yes,no,yes,no,right
./Version0_dataset/Qwen_Image_Edit_2509_v0/blanket_right_of_chair_FACE-LEFT.png,blanket,The blanket is on the floor to the right of the person sitting on the chair. It appears to be folded and placed there.,yes,no,no,yes,behind
./Version0_dataset/Qwen_Image_Edit_2509_v0/shoes_right_of_chair_FACE-RIGHT.png,shoes,The shoes are on the floor to the right of the person sitting on the chair. They appear to be brown dress shoes.,yes,no,no,yes,front
./Version0_dataset/Qwen_Image_Edit_2509_v0/box_right_of_chair_FACE-RIGHT.png,box,"The box is on the floor to the right of the person sitting on the chair. It appears to be an Amazon box, as indicated by the branding and design.",no,no,no,yes,front
./Version0_dataset/Qwen_Image_Edit_2509_v0/scarf_left_of_chair_FACE-LEFT.png,scarf,"The scarf is on the floor to the left of the person sitting on the chair. It appears to be draped over something, possibly a small object or the edge of the chair, and it extends towards the bottom left corner of the image.",yes,no,yes,no,front
./Version0_dataset/Qwen_Image_Edit_2509_v0/plate_right_of_chair_FACE-CAMERA.png,plate,The plate is on the floor to the right of the person in the image.,yes,no,no,yes,left
./Version0_dataset/Qwen_Image_Edit_2509_v0/painting_left_of_chair_FACE-LEFT.png,painting,"The painting is on the floor, to the left of the person sitting on the chair. It appears to be a colorful geometric design.",no,no,no,no,front
./Version0_dataset/Qwen_Image_Edit_2509_v0/spatula_right_of_chair_FACE-RIGHT.png,spatula,"The spatula is on the floor to the right of the person, near their right foot. It appears to be a green spatula with a wooden handle.",yes,no,no,yes,front
./Version0_dataset/Qwen_Image_Edit_2509_v0/remote_right_of_chair_FACE-CAMERA.png,remote,The remote is on the floor to the right side of the person in the image.,no,no,no,yes,left
./Version0_dataset/Qwen_Image_Edit_2509_v0/blanket_left_of_chair_FACE-LEFT.png,blanket,"The blanket is on the floor to the left of the person sitting on the chair. It appears to be folded and placed there, possibly for comfort or as part of an activity.",yes,no,yes,no,front
./Version0_dataset/Qwen_Image_Edit_2509_v0/helmet_right_of_chair_FACE-LEFT.png,helmet,The helmet is on the floor to the right of the person sitting on the chair. It appears to be a white bicycle helmet with some black details.,no,no,no,yes,behind
./Version0_dataset/Qwen_Image_Edit_2509_v0/lamp_right_of_chair_FACE-CAMERA.png,lamp,"The lamp is to the right of the person in the image, placed on the floor next to the wall.",no,no,no,yes,left
./Version0_dataset/Qwen_Image_Edit_2509_v0/cap_left_of_chair_FACE-CAMERA.png,cap,The cap is on the floor to the left of the person sitting on the stool.,yes,no,yes,no,right
./Version0_dataset/Qwen_Image_Edit_2509_v0/hat_right_of_chair_FACE-CAMERA.png,hat,The hat is on the floor to the right of the person in the image.,no,no,no,yes,left
