src_path,dst_path,prompt,expected_direction,second_object,view_type
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_left_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/ball-of-yarn_left_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",right,ball-of-yarn,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_left_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/ball-of-yarn_left_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. Keep all the rest of the image the same.",front,ball-of-yarn,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_left_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/ball-of-yarn_left_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. Keep all the rest of the image the same.",back,ball-of-yarn,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_right_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/ball-of-yarn_right_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",left,ball-of-yarn,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_right_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/ball-of-yarn_right_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. Keep all the rest of the image the same.",back,ball-of-yarn,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/ball-of-yarn_right_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/ball-of-yarn_right_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. Keep all the rest of the image the same.",front,ball-of-yarn,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/banana_left_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/banana_left_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",right,banana,FACE-CAMERA
/home/zzou/WhatsUp_dataset/controlled_images/banana_left_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/banana_left_of_chair_FACE-LEFT.png,"Insert a human sitting on the chair facing left, with their body also turned to the left. Keep all the rest of the image the same.",front,banana,FACE-LEFT
/home/zzou/WhatsUp_dataset/controlled_images/banana_left_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/banana_left_of_chair_FACE-RIGHT.png,"Insert a human sitting on the chair facing right, with their body also turned to the right. Keep all the rest of the image the same.",back,banana,FACE-RIGHT
/home/zzou/WhatsUp_dataset/controlled_images/banana_right_of_chair.jpeg,/home/zzou/Version0_dataset/QwenImage_v0/banana_right_of_chair_FACE-CAMERA.png,"Insert a human sitting on the chair facing the camera, with their body also faced the camera. Keep all the rest of the image the same.",left,banana,FACE-CAMERA
